source_url,source_type,date_accessed,confidence,notes,id_reference
https://corrections.az.gov/adcr/community-reentry,government,2026-07-06,high,Resource id 1: ADCRR — Community Reentry Programs,1
https://corrections.az.gov/adcr/community-corrections,government,2026-07-06,high,Resource id 2: ADCRR — Community Corrections & Parole,2
https://www.healthearizonaplus.gov,government,2026-07-06,high,Resource id 3: Health-e-Arizona Plus,3
https://www.azahcccs.gov,government,2026-07-06,high,Resource id 4: AHCCCS — Arizona Medicaid,4
https://211arizona.org,nonprofit,2026-07-06,high,Resource id 5: 211 Arizona,5
https://www.clsaz.org,nonprofit,2026-07-06,high,Resource id 6: Community Legal Services — Statewide Intake,6
https://www.dnaazlaw.org,nonprofit,2026-07-06,high,Resource id 7: DNA People's Legal Services,7
https://arizonaatwork.com,government,2026-07-06,high,Resource id 8: ARIZONA@WORK — Statewide Network,8
https://des.az.gov/services/employment/rehabilitation-services,government,2026-07-06,high,Resource id 9: RSA — Vocational Rehabilitation Services,9
https://www.azahcccs.gov,government,2026-07-06,high,Resource id 10: AHCCCS — RBHA Behavioral Health Directory,10
https://dvs.az.gov,government,2026-07-06,high,Resource id 11: Arizona Department of Veterans' Services,11
https://azmvdnow.gov,government,2026-07-06,high,Resource id 12: Arizona MVD — azmvdnow.gov,12
https://www.azdhs.gov/licensing/vital-records,government,2026-07-06,high,Resource id 13: ADHS — Office of Vital Records,13
https://988lifeline.org,government,2026-07-06,high,Resource id 14: 988 Suicide & Crisis Lifeline,14
https://www.samhsa.gov/find-help/national-helpline,government,2026-07-06,high,Resource id 15: SAMHSA National Helpline,15
https://findtreatment.gov,government,2026-07-06,high,Resource id 16: FindTreatment.gov — Arizona Locator,16
https://www.azjusticeproject.org,nonprofit,2026-07-06,high,Resource id 17: Arizona Justice Project,17
https://des.az.gov/services/employment/snap-employment-training,government,2026-07-06,high,Resource id 18: DES — SNAP Employment & Training (CAN),18
https://corrections.az.gov/adcr/community-reentry,government,2026-07-06,high,Resource id 19: ADCRR — Community Reentry Center Overview,19
https://des.az.gov,government,2026-07-06,high,Resource id 20: DES — Benefits Information Line,20
https://www.umom.org,nonprofit,2026-07-06,high,Resource id 21: UMOM New Day Centers,21
https://turnanewleaf.org,nonprofit,2026-07-06,high,Resource id 22: A New Leaf — Family & Support Services,22
https://sjwjobs.org,nonprofit,2026-07-06,high,Resource id 23: St. Joseph the Worker,23
https://phoenixrescuemission.org,nonprofit,2026-07-06,high,Resource id 24: Phoenix Rescue Mission,24
https://www.nativeconnections.org,nonprofit,2026-07-06,high,Resource id 25: Native American Connections,25
https://www.hopescrossing.org,nonprofit,2026-07-06,high,Resource id 26: Hope's Crossing,26
https://www.valleywisehealth.org,nonprofit,2026-07-06,high,Resource id 27: Valleywise Health,27
https://mountainparkhealth.org,nonprofit,2026-07-06,high,Resource id 28: Mountain Park Health Center,28
