source_url,source_type,date_accessed,confidence,notes,id_reference
https://www.fdc.myflorida.com/reentry,government,2026-07-06,high,Resource id 1: FDC — Reentry & Transition Services,1
https://www.fdc.myflorida.com/probation,government,2026-07-06,high,Resource id 2: FDC — Probation & Parole Services,2
https://myaccess.myflfamilies.com,government,2026-07-06,high,Resource id 3: MyACCESS Florida,3
https://www.ahca.myflorida.com,government,2026-07-06,high,Resource id 4: AHCA — Florida Medicaid,4
https://www.211.org,nonprofit,2026-07-06,high,Resource id 5: 211 Florida,5
https://www.floridalegal.org,nonprofit,2026-07-06,high,Resource id 6: Florida Legal Services — Statewide Intake,6
https://careersourceflorida.com,government,2026-07-06,high,Resource id 7: CareerSource Florida,7
https://www.rehabworks.org,government,2026-07-06,high,Resource id 8: Florida Division of Vocational Rehabilitation,8
https://www.floridavets.org,government,2026-07-06,high,Resource id 9: Florida Department of Veterans' Affairs,9
https://www.flhsmv.gov,government,2026-07-06,high,Resource id 10: FLHSMV — Driver Licenses & ID,10
https://www.floridahealth.gov/certificates,government,2026-07-06,high,Resource id 11: Florida Department of Health — Vital Records,11
https://988lifeline.org,government,2026-07-06,high,Resource id 12: 988 Suicide & Crisis Lifeline — Florida,12
https://www.samhsa.gov/find-help/national-helpline,government,2026-07-06,high,Resource id 13: SAMHSA National Helpline,13
https://findtreatment.gov,government,2026-07-06,high,Resource id 14: FindTreatment.gov,14
https://www.myflfamilies.com/service-programs/access,government,2026-07-06,high,Resource id 15: DCF — ACCESS Customer Call Center,15
https://www.floridahousing.org,government,2026-07-06,high,Resource id 16: Florida Housing Finance Corporation,16
https://www.floridarrc.com,nonprofit,2026-07-06,high,Resource id 17: Florida Rights Restoration Coalition,17
https://www.fldoe.org/academics/career-adult-edu/adult-edu,government,2026-07-06,high,Resource id 18: Florida Department of Education — Adult Education,18
https://www.feedingflorida.org,nonprofit,2026-07-06,high,Resource id 19: Feeding Florida — Statewide Food Bank Network,19
https://www.fpdcc.state.fl.us,government,2026-07-06,high,Resource id 20: Florida Office of the Public Defender — Civil Legal Referrals,20
https://www.camillushouse.org,nonprofit,2026-07-06,high,Resource id 21: Camillus House — Permanent Supportive Housing,21
https://www.lsgmiami.org,nonprofit,2026-07-06,high,Resource id 22: Legal Services of Greater Miami,22
https://www.carrfour.org,nonprofit,2026-07-06,high,Resource id 23: Carrfour Supportive Housing,23
https://www.careersourcesfl.com,government,2026-07-06,high,Resource id 24: CareerSource South Florida,24
https://www.bphi.org,nonprofit,2026-07-06,high,Resource id 25: Broward Partnership for the Homeless,25
https://www.hopesouthflorida.org,nonprofit,2026-07-06,high,Resource id 26: HOPE South Florida,26
https://www.careersourcebroward.com,government,2026-07-06,high,Resource id 27: CareerSource Broward,27
https://www.metromin.org,nonprofit,2026-07-06,high,Resource id 28: Metropolitan Ministries — Tampa,28
https://www.dacco.org,nonprofit,2026-07-06,high,Resource id 29: DACCO — Substance Abuse Treatment,29
https://www.careersourcetampabay.com,government,2026-07-06,high,Resource id 30: CareerSource Tampa Bay,30
https://www.centralfloridahomeless.org,nonprofit,2026-07-06,high,Resource id 31: Coalition for the Homeless of Central Florida,31
https://www.aspirehealthpartners.com,nonprofit,2026-07-06,high,Resource id 32: Aspire Health Partners,32
https://www.clsmf.org,nonprofit,2026-07-06,high,Resource id 33: Community Legal Services of Mid-Florida,33
https://www.operationnewhope.org,nonprofit,2026-07-06,high,Resource id 34: Operation New Hope,34
https://www.jaxlegalaid.org,nonprofit,2026-07-06,high,Resource id 35: Jacksonville Area Legal Aid,35
https://www.clarawhitemission.org,nonprofit,2026-07-06,high,Resource id 36: Clara White Mission,36
https://www.openingdoorsnwfl.org,nonprofit,2026-07-06,high,Resource id 37: Opening Doors Northwest Florida,37
https://www.lakeviewcenter.org,nonprofit,2026-07-06,high,Resource id 38: Lakeview Center,38
https://www.careersourceescarosa.com,government,2026-07-06,high,Resource id 39: CareerSource Escarosa,39
https://www.leehealth.org,nonprofit,2026-07-06,high,Resource id 40: Lee Health — Community Health,40
https://www.valerieshouseswfl.org,nonprofit,2026-07-06,high,Resource id 41: Valerie's House — Grief & Family Support,41
https://www.harvesthouse.org,nonprofit,2026-07-06,high,Resource id 42: Harvest House — Transitional Housing,42
https://www.careersourcesuncoast.com,government,2026-07-06,high,Resource id 43: CareerSource Suncoast,43
https://www.gainesvillecommunityministry.org,nonprofit,2026-07-06,high,Resource id 44: Gainesville Community Ministry,44
https://ufhealth.org,nonprofit,2026-07-06,high,Resource id 45: UF Health — Primary Care,45
https://www.fdc.myflorida.com/probation,government,2026-07-06,high,Resource id 46: FDC — Tallahassee Probation Office,46
https://www.habitatbigbend.org,nonprofit,2026-07-06,high,Resource id 47: Big Bend Habitat for Humanity,47
https://www.careersourcepinellas.com,government,2026-07-06,high,Resource id 48: CareerSource Pinellas,48
https://www.perc-fl.org,nonprofit,2026-07-06,high,Resource id 49: Pinellas Ex-offender Re-entry Coalition,49
https://www.adoptafamilypbc.org,nonprofit,2026-07-06,high,Resource id 50: Adopt-a-Family of the Palm Beaches,50
https://www.fdc.myflorida.com/probation,government,2026-07-06,high,Resource id 51: Polk County FDC Probation Office,51
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 52: Alachua County DCF — ACCESS Benefits & Family Support,52
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 53: Baker County DCF — ACCESS Benefits & Family Support,53
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 54: Bay County DCF — ACCESS Benefits & Family Support,54
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 55: Bradford County DCF — ACCESS Benefits & Family Support,55
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 56: Brevard County DCF — ACCESS Benefits & Family Support,56
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 57: Broward County DCF — ACCESS Benefits & Family Support,57
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 58: Calhoun County DCF — ACCESS Benefits & Family Support,58
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 59: Charlotte County DCF — ACCESS Benefits & Family Support,59
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 60: Citrus County DCF — ACCESS Benefits & Family Support,60
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 61: Clay County DCF — ACCESS Benefits & Family Support,61
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 62: Collier County DCF — ACCESS Benefits & Family Support,62
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 63: Columbia County DCF — ACCESS Benefits & Family Support,63
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 64: DeSoto County DCF — ACCESS Benefits & Family Support,64
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 65: Dixie County DCF — ACCESS Benefits & Family Support,65
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 66: Duval County DCF — ACCESS Benefits & Family Support,66
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 67: Escambia County DCF — ACCESS Benefits & Family Support,67
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 68: Flagler County DCF — ACCESS Benefits & Family Support,68
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 69: Franklin County DCF — ACCESS Benefits & Family Support,69
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 70: Gadsden County DCF — ACCESS Benefits & Family Support,70
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 71: Gilchrist County DCF — ACCESS Benefits & Family Support,71
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 72: Glades County DCF — ACCESS Benefits & Family Support,72
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 73: Gulf County DCF — ACCESS Benefits & Family Support,73
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 74: Hamilton County DCF — ACCESS Benefits & Family Support,74
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 75: Hardee County DCF — ACCESS Benefits & Family Support,75
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 76: Hendry County DCF — ACCESS Benefits & Family Support,76
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 77: Hernando County DCF — ACCESS Benefits & Family Support,77
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 78: Highlands County DCF — ACCESS Benefits & Family Support,78
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 79: Hillsborough County DCF — ACCESS Benefits & Family Support,79
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 80: Holmes County DCF — ACCESS Benefits & Family Support,80
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 81: Indian River County DCF — ACCESS Benefits & Family Support,81
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 82: Jackson County DCF — ACCESS Benefits & Family Support,82
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 83: Jefferson County DCF — ACCESS Benefits & Family Support,83
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 84: Lafayette County DCF — ACCESS Benefits & Family Support,84
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 85: Lake County DCF — ACCESS Benefits & Family Support,85
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 86: Lee County DCF — ACCESS Benefits & Family Support,86
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 87: Leon County DCF — ACCESS Benefits & Family Support,87
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 88: Levy County DCF — ACCESS Benefits & Family Support,88
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 89: Liberty County DCF — ACCESS Benefits & Family Support,89
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 90: Madison County DCF — ACCESS Benefits & Family Support,90
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 91: Manatee County DCF — ACCESS Benefits & Family Support,91
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 92: Marion County DCF — ACCESS Benefits & Family Support,92
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 93: Martin County DCF — ACCESS Benefits & Family Support,93
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 94: Miami-Dade County DCF — ACCESS Benefits & Family Support,94
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 95: Monroe County DCF — ACCESS Benefits & Family Support,95
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 96: Nassau County DCF — ACCESS Benefits & Family Support,96
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 97: Okaloosa County DCF — ACCESS Benefits & Family Support,97
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 98: Okeechobee County DCF — ACCESS Benefits & Family Support,98
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 99: Orange County DCF — ACCESS Benefits & Family Support,99
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 100: Osceola County DCF — ACCESS Benefits & Family Support,100
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 101: Palm Beach County DCF — ACCESS Benefits & Family Support,101
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 102: Pasco County DCF — ACCESS Benefits & Family Support,102
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 103: Pinellas County DCF — ACCESS Benefits & Family Support,103
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 104: Polk County DCF — ACCESS Benefits & Family Support,104
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 105: Putnam County DCF — ACCESS Benefits & Family Support,105
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 106: Santa Rosa County DCF — ACCESS Benefits & Family Support,106
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 107: Sarasota County DCF — ACCESS Benefits & Family Support,107
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 108: Seminole County DCF — ACCESS Benefits & Family Support,108
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 109: St. Johns County DCF — ACCESS Benefits & Family Support,109
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 110: St. Lucie County DCF — ACCESS Benefits & Family Support,110
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 111: Sumter County DCF — ACCESS Benefits & Family Support,111
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 112: Suwannee County DCF — ACCESS Benefits & Family Support,112
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 113: Taylor County DCF — ACCESS Benefits & Family Support,113
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 114: Union County DCF — ACCESS Benefits & Family Support,114
https://www.myflfamilies.com/service-programs/access/apply-now,government,2026-07-06,high,Resource id 115: Volusia County DCF — ACCESS Benefits & Family Support,115
