source_url,source_type,date_accessed,confidence,notes,id_reference
https://idoc.illinois.gov/programs/reentry.html,government,2026-06-24,high,Resource id 1: IDOC — Reentry Programs & Services,1
https://abe.illinois.gov,government,2026-06-24,high,Resource id 2: ABE — Application for Benefits Eligibility,2
https://search.211illinois.org,government,2026-06-24,high,Resource id 3: 211 Illinois,3
https://www.dhs.state.il.us/page.aspx?item=29725,government,2026-06-24,high,Resource id 4: IDHS — Benefits & Family Services Overview,4
https://www.illinoislegalaid.org,government,2026-06-24,high,Resource id 5: Illinois Legal Aid Online,5
https://www.carpls.org,government,2026-06-24,high,Resource id 6: CARPLS — Statewide Legal Aid Hotline,6
https://www.ides.illinois.gov/idesreentry.html,government,2026-06-24,high,Resource id 7: IDES — Re-Entry Employment Service Program,7
https://www.illinoisworknet.com,government,2026-06-24,high,Resource id 8: Illinois workNet — Statewide Portal,8
https://988lifeline.org,government,2026-06-24,high,Resource id 9: 988 Suicide & Crisis Lifeline — Illinois,9
https://www.newleafillinois.org,government,2026-06-24,high,Resource id 10: New Leaf Illinois — Record Relief Network,10
https://www.ilaflan.org,government,2026-06-24,high,Resource id 11: IL-AFLAN — Illinois Armed Forces Legal Aid Network,11
https://www.samhsa.gov/find-help/national-helpline,government,2026-06-24,high,Resource id 12: SAMHSA National Helpline,12
https://findtreatment.gov,government,2026-06-24,high,Resource id 13: FindTreatment.gov — Illinois Provider Search,13
https://www.dhs.state.il.us/page.aspx?item=29725,government,2026-06-24,high,Resource id 14: IDHS — Pre-Release Benefits Program,14
https://www.hfs.illinois.gov,government,2026-06-24,high,Resource id 15: Illinois Department of Healthcare and Family Services — Medicaid,15
https://www.ilsos.gov,government,2026-06-24,high,Resource id 16: Illinois Secretary of State — Driver & State ID Services,16
https://www.illinois.gov/veterans,government,2026-06-24,high,Resource id 17: Illinois Department of Veterans Affairs,17
https://www.ihda.org,government,2026-06-24,high,Resource id 18: Illinois Housing Development Authority,18
https://www.icjia.state.il.us,government,2026-06-24,high,Resource id 19: Illinois Criminal Justice Information Authority,19
https://www.icaaonline.org,government,2026-06-24,high,Resource id 20: Community Action Association of Illinois,20
https://www.dhs.state.il.us/page.aspx?item=29725,government,2026-06-24,high,Resource id 21: Illinois Department of Human Services — Behavioral Health,21
https://www.ilcadv.org,government,2026-06-24,high,Resource id 22: Illinois Coalition Against Domestic Violence,22
https://www2.illinois.gov/education/Pages/Adult-Education.aspx,government,2026-06-24,high,Resource id 23: Illinois Adult Education — State Program Locator,23
https://www.idot.illinois.gov,government,2026-06-24,high,Resource id 24: Illinois Department of Transportation — Public Transit Resources,24
https://www.illinoiscertificationboard.org,government,2026-06-24,high,Resource id 25: Illinois Peer Recovery Support Services,25
https://www.saferfoundation.org,nonprofit,2026-06-24,high,Resource id 26: Safer Foundation — Chicago Reentry Employment,26
https://www.heartlandalliance.org,nonprofit,2026-06-24,high,Resource id 27: Heartland Alliance — Reentry Services,27
https://www.thresholds.org,nonprofit,2026-06-24,high,Resource id 28: Thresholds — Justice Program,28
https://www.legalaidchicago.org,nonprofit,2026-06-24,high,Resource id 29: Legal Aid Chicago,29
https://www.carpls.org,nonprofit,2026-06-24,high,Resource id 30: CARPLS — Coordinated Advice & Referral Program,30
https://www.innervoice.org,nonprofit,2026-06-24,high,Resource id 31: InnerVoice — Supportive Housing,31
https://www.tasc.org,nonprofit,2026-06-24,high,Resource id 32: TASC — Treatment Alternatives for Safe Communities,32
https://howardbrown.org,nonprofit,2026-06-24,high,Resource id 33: Howard Brown Health — Reentry Health Services,33
https://www.pccwellness.org,nonprofit,2026-06-24,high,Resource id 34: PCC Community Wellness Center,34
https://www.chicagohomeless.org,nonprofit,2026-06-24,high,Resource id 35: Chicago Coalition for the Homeless,35
https://www.salarmychicago.org,nonprofit,2026-06-24,high,Resource id 36: Salvation Army Harbor Light — Chicago,36
https://www.stleonardsministries.org,nonprofit,2026-06-24,high,Resource id 37: St. Leonard's Ministries — Reentry Housing,37
https://www.asafehaven.org,nonprofit,2026-06-24,high,Resource id 38: A Safe Haven Foundation — Reentry Housing,38
https://www.pslegal.org,nonprofit,2026-06-24,high,Resource id 39: Prairie State Legal Services — Northern Illinois,39
https://www.lincolnlegal.org,nonprofit,2026-06-24,high,Resource id 40: Land of Lincoln Legal Assistance,40
https://www.prairiecenter.org,nonprofit,2026-06-24,high,Resource id 41: Prairie Center Health Systems — SUD Treatment,41
https://www.rosecrance.org,nonprofit,2026-06-24,high,Resource id 42: Rosecrance — SUD Treatment,42
https://www.cyfsolutions.org,nonprofit,2026-06-24,high,Resource id 43: Center for Youth and Family Solutions — Reentry,43
https://www.goodwillpeo.org,nonprofit,2026-06-24,high,Resource id 44: Goodwill of Central Illinois — Reentry Employment,44
https://www.peoriafriendshiphouse.org,nonprofit,2026-06-24,high,Resource id 45: Peoria Friendship House — Reentry Support,45
https://www.wircc.net,nonprofit,2026-06-24,high,Resource id 46: Western Illinois Regional Council — Community Action,46
https://www.ecicaaa.org,nonprofit,2026-06-24,high,Resource id 47: East Central Illinois Community Action,47
https://www.sicacaa.org,nonprofit,2026-06-24,high,Resource id 48: Southern Illinois Community Action,48
https://www.ivcc.edu/adulted,nonprofit,2026-06-24,high,Resource id 49: Illinois Valley Community College — Adult Education,49
https://www.parkland.edu/adulted,nonprofit,2026-06-24,high,Resource id 50: Parkland College — Adult Education & GED,50
https://www.ilsos.gov,nonprofit,2026-06-24,high,Resource id 51: Illinois Department of Transportation — Secretary of State ID Services,51
https://www.illinois.gov/veterans,nonprofit,2026-06-24,high,Resource id 52: Illinois Department of Veterans Affairs — County VSO Network,52
https://www.transitchicago.com,nonprofit,2026-06-24,high,Resource id 53: Chicago Transit Authority — Reduced Fare Program,53
https://www.metra.com,nonprofit,2026-06-24,high,Resource id 54: Metra — Reduced Fare Program,54
https://www.illinoiscertificationboard.org,nonprofit,2026-06-24,high,Resource id 55: Illinois Certification Board — Peer Recovery Support,55
