source_url,source_type,date_accessed,confidence,notes,id_reference
https://corrections.ky.gov/Reentry,government,2026-06-22,high,Resource id 1: Kentucky Department of Corrections — Division of Reentry Services,1
https://secondchance.ky.gov,government,2026-06-22,high,Resource id 2: Kentucky DOC — Second Chance Portal,2
https://findhelpnow.org/ky,nonprofit,2026-06-22,high,Resource id 3: KY HELP Statewide Substance Use Hotline,3
https://southernkyreentry.org,nonprofit,2026-06-22,high,Resource id 4: Southern Kentucky Reentry Council,4
https://www.kentuckyreentry.org,nonprofit,2026-06-22,high,Resource id 5: FIVCO Reentry Council,5
https://c-t-susa.com,other,2026-06-22,high,Resource id 10: CTS-Russell (Community Transitional Services),10
https://www.thehealingplace.org,nonprofit,2026-06-22,high,Resource id 11: The Burns M. Brady Center,11
https://dismas.com,other,2026-06-22,high,Resource id 12: Dismas Charities — Diersen (Louisville),12
https://dismas.com,other,2026-06-22,high,Resource id 13: Dismas Charities — Portland (Louisville),13
https://voamid.org,nonprofit,2026-06-22,high,Resource id 14: Volunteers of America — Halfway Back Program,14
https://www.voamid.org/locations/freedom-house/,nonprofit,2026-06-22,high,Resource id 15: Volunteers of America — Freedom House,15
https://recenterministries.org,nonprofit,2026-06-22,high,Resource id 16: Re:Center Ministries,16
legacy-curation,legacy,2026-06-22,medium,Historical row 17: Exodus Scholar Homes; see data/enrichments/batch-*.json,17
https://louhomeless.org/news/gethelp/,nonprofit,2026-06-22,high,Resource id 18: Coalition for the Homeless — Single Point of Entry,18
https://chrysalishouse.org,nonprofit,2026-06-22,high,Resource id 20: Chrysalis House,20
https://hopectr.org/what-we-do/recovery-treatment/mens-recovery-program/,nonprofit,2026-06-22,high,Resource id 21: Hope Center — George Privett (Men),21
https://hopectr.org/what-we-do/recovery-treatment/womens-recovery-program/,nonprofit,2026-06-22,high,Resource id 22: Hope Center — Ball-Quantrell Jones (Women),22
https://dismas.com,other,2026-06-22,high,Resource id 23: Dismas Charities — Lexington,23
https://shepherdshouseinc.com,other,2026-06-22,high,Resource id 24: Shepherds House,24
https://lexingtonrescue.org/services/ex-offender-re-entry/,nonprofit,2026-06-22,high,Resource id 25: Lexington Rescue Mission — Re-Entry Program,25
https://welcomehouseky.org,nonprofit,2026-06-22,high,Resource id 30: Welcome House of Northern Kentucky,30
https://transitionsky.org,nonprofit,2026-06-22,high,"Resource id 31: Transitions, Inc. — Covington",31
https://transitionsky.org/facilities/grateful-life-center,nonprofit,2026-06-22,high,"Resource id 32: Transitions, Inc. — Grateful Life Center",32
https://marcrecovery.com,other,2026-06-22,high,Resource id 40: Men's Addiction Recovery Center (MARC),40
https://haven4change.org,nonprofit,2026-06-22,high,Resource id 41: Haven4Change,41
http://www.thebrrc.com,other,2026-06-22,high,Resource id 50: Bluegrass Career Development Center,50
https://foothillscap.org/programs/liberty-place,nonprofit,2026-06-22,high,Resource id 51: Liberty Place Recovery Center for Women,51
https://dismas.com,other,2026-06-22,high,Resource id 60: Dismas Charities — Owensboro,60
https://westcare.com/places/kentucky/,other,2026-06-22,high,Resource id 70: WestCare — Lookout (Elkhorn City),70
http://www.keetoncorrections.com,other,2026-06-22,high,Resource id 71: Keeton Corrections — Paducah,71
https://www.oxfordhouseky.org/reentry,nonprofit,2026-06-22,high,Resource id 80: Oxford House Kentucky — Recovery Housing,80
https://goodwillky.org,nonprofit,2026-06-22,high,Resource id 100: Goodwill Industries of Kentucky — RISE Program,100
https://goodwillky.org/expungements/,nonprofit,2026-06-22,high,Resource id 101: Goodwill Kentucky — Free Expungement Services,101
https://kentuckianaworks.org/kcclou,nonprofit,2026-06-22,high,Resource id 102: Kentucky Career Center — Louisville,102
https://www.ckycareers.com/locations,other,2026-06-22,high,Resource id 103: Kentucky Career Center — Lexington (Bluegrass),103
https://nkcareercenter.org,nonprofit,2026-06-22,high,Resource id 104: Kentucky Career Center — Northern Kentucky,104
https://www.jobsight.org,nonprofit,2026-06-22,high,Resource id 105: Kentucky Career Center — Bowling Green,105
https://tencocareercenter.com,other,2026-06-22,high,Resource id 106: Kentucky Career Center — TENCO (Ashland),106
https://ekcep.org/find-a-career/,nonprofit,2026-06-22,high,Resource id 107: Eastern Kentucky CEP (EKCEP) — SITE Program,107
https://dpl.ky.gov/Pages/default.aspx,government,2026-06-22,high,Resource id 108: Kentucky Dept of Professional Licensing — Occupational Licensing,108
https://ij.org/report-abuse/,nonprofit,2026-06-22,high,Resource id 109: Institute for Justice — Kentucky Licensing,109
https://kynect.ky.gov/benefits/s/,government,2026-06-22,high,Resource id 120: kynect — Medicaid & Benefits Enrollment,120
https://sevencounties.org/crisis/,nonprofit,2026-06-22,high,Resource id 121: Seven Counties Services — Louisville,121
https://centerstone.org/locations/kentucky/,nonprofit,2026-06-22,high,Resource id 122: Centerstone — Louisville,122
https://newvista.org/get-help/crisis/,nonprofit,2026-06-22,high,Resource id 123: New Vista Behavioral Health — Lexington,123
https://www.northkey.org/get-help-now/,nonprofit,2026-06-22,high,Resource id 124: North Key Community Care — Covington,124
https://988lifeline.org/es/,nonprofit,2026-06-22,high,Resource id 125: 988 Suicide & Crisis Lifeline,125
https://louisville.edu/ryanwhite550/,nonprofit,2026-06-22,high,Resource id 126: University of Louisville 550 HIV Clinic / Ryan White Program,126
https://www.voamid.org/services/housing-opportunities-for-persons-with-aids-hopwa/,nonprofit,2026-06-22,high,Resource id 127: Volunteers of America — HIV Services (Louisville),127
https://avolky.org/get-tested/,nonprofit,2026-06-22,high,Resource id 128: AVOL Kentucky — Lexington,128
https://louisvilleky.gov/government/health-wellness/clinics,government,2026-06-22,high,Resource id 129: Louisville Metro Public Health — Free HIV Testing,129
https://www.thehealingplace.org/how-it-works/,nonprofit,2026-06-22,high,Resource id 140: The Healing Place — Men's Campus,140
https://www.thehealingplace.org/womens-campus-the-healing-place/,nonprofit,2026-06-22,high,Resource id 141: The Healing Place — Women's Campus,141
https://www.stepworks.com/locations/,other,2026-06-22,high,Resource id 142: Stepworks Recovery Centers,142
https://findtreatment.gov/locator,government,2026-06-22,high,Resource id 143: SAMHSA Treatment Locator,143
https://yourlegalaid.org/apply/,nonprofit,2026-06-22,high,Resource id 160: Legal Aid Society — Louisville,160
https://lablaw.org/apply-online,nonprofit,2026-06-22,high,Resource id 161: Legal Aid of the Bluegrass — Lexington,161
https://klaid.org/apply-for-services/,nonprofit,2026-06-22,high,Resource id 162: Kentucky Legal Aid — Bowling Green,162
https://klaid.org/apply-for-services/,nonprofit,2026-06-22,high,Resource id 163: Kentucky Legal Aid — Owensboro,163
https://klaid.org/apply-for-services/,nonprofit,2026-06-22,high,Resource id 164: Kentucky Legal Aid — Paducah,164
https://www.ardfky.org/page/17/how-get-help,nonprofit,2026-06-22,high,Resource id 165: AppalReD Legal Aid — Eastern Kentucky,165
https://aclu-ky.org/en/rovr,nonprofit,2026-06-22,high,Resource id 166: ACLU of Kentucky — Voting Rights Restoration (ROVR),166
