id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
1,Kentucky Department of Corrections — Division of Reentry Services,state-agency,Statewide,"The Kentucky Department of Corrections Division of Reentry Services coordinates statewide reentry planning for people in state custody or under community supervision. The division oversees 13 Reentry Service Centers across Kentucky and assigns regional reentry coordinators who work with individuals and families before and after release. They help build individualized reentry plans and connect people to housing, employment, benefits, and community partners. This is a planning and referral office—not a crisis or emergency line.","La División de Servicios de Reinserción del Departamento de Correcciones de Kentucky coordina la planificación estatal para personas en custodia estatal o bajo supervisión comunitaria. Supervisa 13 Centros de Servicios de Reinserción en todo el estado y asigna coordinadores regionales que trabajan con personas y familias antes y después de la liberación. Ayudan a crear planes personalizados y conectar con vivienda, empleo, beneficios y aliados comunitarios. Es una oficina de planificación y referencias—no una línea de crisis.",275 East Main Street,Frankfort,(502) 782-2347,,https://corrections.ky.gov/Reentry,"Varies by program—generally serves Kentucky residents under DOC custody, supervision, or seeking state reentry services.","Varía según el programa—generalmente sirve a residentes de Kentucky bajo custodia DOC, supervisión o que buscan servicios estatales de reintegración.","For your area, contact the regional Reentry Coordinator listed at corrections.ky.gov/Reentry.","Personas bajo custodia o supervisión del DOC de Kentucky y sus familias. Para preguntas generales, llame al (502) 782-2347. Para su región, contacte al coordinador de reinserción en corrections.ky.gov/Reentry.","Monday–Friday, 8:00 a.m.–4:30 p.m.",statewide|reentry|DOC|RSC|probation|parole|frankfort,Reentry navigation|Partner referrals,Franklin,,statewide,accepts_criminal_record
2,Kentucky DOC — Second Chance Portal,state-agency,Statewide,"Free statewide online hub from Kentucky DOC for people preparing for release or already in reentry. Curated links cover housing, jobs, education, public benefits (SNAP, Medicaid, K-TAP), substance use recovery, expungement, and local reentry councils. No account required—browse anytime from a phone or computer. Phone support depends on the specific program linked from the portal.","Portal en línea gratuito del DOC de Kentucky para quienes se preparan para la liberación o ya están en reinserción. Enlaces organizados sobre vivienda, empleo, educación, beneficios públicos (SNAP, Medicaid, K-TAP), recuperación, eliminación de antecedentes y consejos locales. No requiere cuenta—disponible en teléfono u ordenador. El soporte telefónico depende de cada programa enlazado.",,,,,https://secondchance.ky.gov,"Varies by program—generally serves Kentucky residents under DOC custody, supervision, or seeking state reentry services.","Varía según el programa—generalmente sirve a residentes de Kentucky bajo custodia DOC, supervisión o que buscan servicios estatales de reintegración.","For current intake, visit https://secondchance.ky.gov. Available online anytime; live referral lines vary by program.","Para admisión actual, visite https://secondchance.ky.gov. Available online anytime; live referral lines vary by program.",Available online anytime; live referral lines vary by program,statewide|online|second-chance|benefits|employment|housing,Partner referrals|Benefits navigation|Expungement assistance,,,statewide,accepts_criminal_record
3,KY HELP Statewide Substance Use Hotline,state-agency,Statewide,"Free statewide phone line (1-833-KY-HELP7) operated by Operation UNITE for Kentuckians concerned about substance use—for themselves or a loved one. Trained specialists provide confidential screening, treatment referrals (inpatient, outpatient, and medication-assisted options), peer support connections, and links to FindHelpNow.org providers across Kentucky. Open evenings and weekends; after hours, call the KY Opioid Assistance and Resource (KY-OAR) Hotline at 800-854-6813.","Línea telefónica gratuita estatal (1-833-KY-HELP7) operada por Operation UNITE para quienes buscan ayuda con el uso de sustancias—para sí mismos o un ser querido. Especialistas capacitados ofrecen evaluación confidencial, referencias a tratamiento (interno, ambulatorio y asistido con medicamentos), conexión con apoyo entre pares y proveedores en FindHelpNow.org. Abierta noches y fines de semana; fuera de horario, llame a KY-OAR al 800-854-6813.",,,1-833-859-4357,,https://findhelpnow.org/ky,"Varies by program—generally serves Kentucky residents under DOC custody, supervision, or seeking state reentry services.","Varía según el programa—generalmente sirve a residentes de Kentucky bajo custodia DOC, supervisión o que buscan servicios estatales de reintegración.",1-833-KY-HELP7,"Detección y referencia gratuita para uso de sustancias en todo el estado. Fuera de horario, llame a la línea KY-OAR al 800-854-6813.","Monday–Friday, 7:00 a.m.–10:00 p.m. ET; Saturday–Sunday, 8:30 a.m.–5:30 p.m. ET",statewide|substance-use|hotline|treatment-referral|recovery|operation-unite,Substance use treatment|Partner referrals|Family reunification support|Addiction treatment referrals,,,statewide,
4,Southern Kentucky Reentry Council,state-agency,Bowling Green / Warren County,"Regional reentry coalition serving 10 south-central Kentucky counties: Logan, Simpson, Butler, Warren, Edmonson, Hart, Barren, Allen, Metcalfe, and Monroe. Volunteers and partner agencies meet regularly to share resources and referrals—this is a networking council, not a direct-service provider. Can help connect justice-involved individuals with ID documents, transportation, housing leads, employment, and scholarship opportunities. Contact for meeting dates and partner introductions.","Coalición regional de reinserción que atiende 10 condados del centro-sur de Kentucky: Logan, Simpson, Butler, Warren, Edmonson, Hart, Barren, Allen, Metcalfe y Monroe. Voluntarios y aliados se reúnen para compartir recursos—es un consejo de red, no un proveedor de servicios directos. Puede conectar a personas con identificación, transporte, opciones de vivienda, empleo y becas. Contacte para fechas de reuniones y referencias a socios.","PMB #394, 1945 Scottsville Road, B2",Bowling Green,(270) 784-9509,info@southernkyreentry.org,https://southernkyreentry.org,"Varies by program—generally serves Kentucky residents under DOC custody, supervision, or seeking state reentry services.","Varía según el programa—generalmente sirve a residentes de Kentucky bajo custodia DOC, supervisión o que buscan servicios estatales de reintegración.",Networking council serving 10 southern Kentucky counties. Does not provide direct services,"Consejo de red en 10 condados del sur de Kentucky. No presta servicios directos conecta a las personas con organizaciones comunitarias para identificación, transporte, vivienda y otras necesidades.",Contact by phone or email; see website for public partnership meeting dates,bowling-green|warren-county|reentry-council|southern-kentucky|networking,Partner referrals|Reentry navigation,Warren,Allen|Barren|Butler|Edmonson|Hart|Logan|Metcalfe|Monroe|Simpson|Warren,multi,accepts_criminal_record
5,FIVCO Reentry Council,state-agency,Ashland / Boyd County,"Regional reentry council for northeastern Kentucky's FIVCO five-county area: Boyd, Carter, Elliott, Greenup, and Lawrence. Part of the statewide Kentucky Reentry Council network, FIVCO coordinates information among courts, corrections, faith-based groups, employers, and social service agencies. Does not operate housing or treatment programs—use this contact for local partner referrals and coalition meeting information.","Consejo regional de reinserción para el área FIVCO de cinco condados en el noreste de Kentucky: Boyd, Carter, Elliott, Greenup y Lawrence. Parte de la red estatal Kentucky Reentry Council; coordina información entre tribunales, correcciones, grupos de fe, empleadores y agencias de servicios sociales. No opera programas de vivienda ni tratamiento—use este contacto para referencias locales y reuniones del consejo.",32 FIVCO Court,Grayson,(606) 920-2024,fivco@kentuckyreentry.org,https://www.kentuckyreentry.org,"Varies by program—generally serves Kentucky residents under DOC custody, supervision, or seeking state reentry services.","Varía según el programa—generalmente sirve a residentes de Kentucky bajo custodia DOC, supervisión o que buscan servicios estatales de reintegración.","Regional networking council for Boyd, Carter, Elliott, Greenup, and Lawrence counties. Coordinates partners and information sharing does not operate direct reentry programs. Contact for meeting schedule.","Consejo regional para los condados Boyd, Carter, Elliott, Greenup y Lawrence. Coordina socios e información no opera programas directos de reinserción.",Contact for meeting times,ashland|boyd-county|fivco|reentry-council|northeast-kentucky,Partner referrals,Boyd,Boyd|Carter|Elliott|Greenup|Lawrence,multi,accepts_criminal_record
10,CTS-Russell (Community Transitional Services),housing,Louisville / Jefferson County,"Kentucky DOC-contracted Reentry Service Center for men in community custody, operated by Community Transitional Services (CTS). Provides licensed transitional housing plus structured programming: Moral Reconation Therapy (MRT), employment preparation, substance use education, and case management aligned with parole and probation requirements. Admissions require a referral from Kentucky DOC Probation and Parole—call to confirm current bed availability.","Centro de Servicios de Reinserción contratado por el DOC de Kentucky para hombres bajo custodia comunitaria, operado por Community Transitional Services (CTS). Ofrece vivienda transitoria con licencia y programación estructurada: Terapia de Reconación Moral (MRT), preparación laboral, educación sobre sustancias y manejo de casos alineado con libertad condicional. Las admisiones requieren referido de Probation and Parole del DOC—llame para confirmar disponibilidad.",1407 West Jefferson Street,Louisville,(502) 855-6500,,https://c-t-susa.com,"Provides licensed transitional housing plus structured programming: Moral Reconation Therapy (MRT), employment preparation, substance use education, and case management aligned with parole and probation requirements. Admissions require a referral from Kentucky DOC Probation and Parole—call to confirm current bed availability.",Varía según el programa—muchos aceptan personas con antecedentes penales. La mayoría de vivienda transitoria requiere referido o solicitud; llame para confirmar disponibilidad.,"Male DOC-contracted Reentry Service Center offering transitional housing, employment preparation, MRT, and reentry programming.","Centro de Reinserción contratado por el DOC para hombres con vivienda transitoria, preparación laboral, MRT y programación de reinserción.","Visitation Saturday–Sunday, 12:00–3:00 p.m.; call for office hours",louisville|jefferson-county|RSC|transitional-housing|DOC-contract,Transitional housing|Employment assistance|Job readiness training|Substance use treatment|Partner referrals,Jefferson,Jefferson,single,accepts_criminal_record
11,The Burns M. Brady Center,housing,Louisville / Jefferson County,"Kentucky DOC-contracted Reentry Service Center in downtown Louisville, operated by The Healing Place. Serves men and women under community supervision with transitional housing integrated into long-term addiction recovery tracks. Combines sober living structure, peer-led recovery, clinical support, and employment readiness in one program. Access is through Kentucky DOC referral—call for admissions timeline and visiting hours.","Centro de Servicios de Reinserción contratado por el DOC en el centro de Louisville, operado por The Healing Place. Atiende hombres y mujeres bajo supervisión comunitaria con vivienda transitoria integrada en programas de recuperación a largo plazo. Combina estructura de vida sobria, recuperación entre pares, apoyo clínico y preparación laboral. El acceso es por referido del DOC de Kentucky—llame para admisiones y horarios de visita.",1000 West Market Street,Louisville,(502) 259-0080,,https://www.thehealingplace.org,Varies by program—many accept individuals with felony records. Most transitional and reentry housing requires referral or application; call to confirm bed availability and criteria.,Varía según el programa—muchos aceptan personas con antecedentes penales. La mayoría de vivienda transitoria requiere referido o solicitud; llame para confirmar disponibilidad.,DOC-contracted Reentry Service Center operated by The Healing Place. Transitional housing and addiction recovery programming referrals through Kentucky DOC.,Centro de Reinserción contratado por el DOC operado por The Healing Place. Vivienda transitoria y programación de recuperación referidos a través del DOC de Kentucky.,Call for admissions and visiting hours (DOC referral required),louisville|RSC|transitional-housing|recovery|DOC-contract|healing-place,Transitional housing|Substance use treatment|Reentry navigation|Probation and parole supervision,Jefferson,Jefferson,single,accepts_criminal_record|referral_required
12,Dismas Charities — Diersen (Louisville),housing,Louisville / Jefferson County,"Federal and state residential reentry center (halfway house) in Louisville for men and women returning from prison. Dismas Charities provides structured sober living, case management, substance abuse programming, job readiness training, and support reuniting with family. Length of stay varies by referral source (Bureau of Prisons, Kentucky DOC, or courts). Intake typically requires an institutional referral—call to confirm bed availability and eligibility.","Centro residencial de reinserción (media casa) federal y estatal en Louisville para hombres y mujeres que salen de prisión. Dismas Charities ofrece vida sobria estructurada, manejo de casos, programación de sustancias, preparación laboral y apoyo para reunificación familiar. La duración varía según la fuente del referido (Buró de Prisiones, DOC de Kentucky o tribunales). Generalmente se requiere referido institucional—llame para confirmar disponibilidad y elegibilidad.",1218 West Oak Street,Louisville,(502) 636-1572,,https://dismas.com,Intake typically requires an institutional referral—call to confirm bed availability and eligibility.,Varía según el programa—muchos aceptan personas con antecedentes penales. La mayoría de vivienda transitoria requiere referido o solicitud; llame para confirmar disponibilidad.,Substance abuse treatment and job training,Centro residencial de reinserción para hombres y mujeres liberados de prisiones federales y estatales. Tratamiento de sustancias y capacitación laboral generalmente requiere referido correccional.,Call for intake and visiting hours,louisville|halfway-house|reentry|federal|state|dismas,Transitional housing|Employment assistance|Substance use treatment|Job readiness training|Family reunification support,Jefferson,Jefferson,single,accepts_criminal_record|referral_required
13,Dismas Charities — Portland (Louisville),housing,Louisville / Jefferson County,"Dismas Charities halfway house in Louisville's Portland neighborhood for individuals released from incarceration. Offers gender-specific residential beds, daily structure and accountability, individualized reentry planning, employment assistance, and substance use programming in a faith-informed environment. Referrals usually come from the federal Bureau of Prisons, Kentucky DOC, or local courts—contact directly to inquire about openings and intake requirements.","Media casa de Dismas Charities en el barrio Portland de Louisville para personas liberadas del encarcelamiento. Ofrece camas residenciales, estructura diaria, planificación individual de reinserción, apoyo laboral y programación de sustancias en un ambiente con enfoque de fe. Los referidos suelen venir del Buró de Prisiones federal, el DOC de Kentucky o tribunales locales—contacte directamente para consultar disponibilidad y requisitos de ingreso.",1501 Lytle Street,Louisville,(502) 584-3733,,https://dismas.com,Varies by program—many accept individuals with felony records. Most transitional and reentry housing requires referral or application; call to confirm bed availability and criteria.,Varía según el programa—muchos aceptan personas con antecedentes penales. La mayoría de vivienda transitoria requiere referido o solicitud; llame para confirmar disponibilidad.,Structured housing and reentry programming through Dismas Charities.,Casa de transición residencial para personas liberadas del encarcelamiento. Vivienda estructurada y programación de reinserción a través de Dismas Charities.,Call for intake and visiting hours,louisville|halfway-house|reentry|portland|dismas,Supportive housing|Reentry navigation|Employment assistance|Substance use treatment,Jefferson,Jefferson,single,accepts_criminal_record|referral_required
14,Volunteers of America — Halfway Back Program,housing,Louisville / Jefferson County,"Volunteers of America Mid-States operates Liberty Place (formerly the Halfway Back Program), a long-term residential treatment program for adult men on parole with substance use disorders. The six- to eight-month program includes housing, 12-step recovery, individual and group counseling, GED preparation, job training, and life skills development. Referrals often come from Kentucky DOC or court order. Located at the Shelby Campus in Louisville.","Volunteers of America Mid-States opera Liberty Place (antes el programa Halfway Back), un tratamiento residencial a largo plazo para hombres adultos en libertad condicional con trastornos por uso de sustancias. El programa de seis a ocho meses incluye vivienda, recuperación en 12 pasos, consejería individual y grupal, preparación para el GED, capacitación laboral y habilidades para la vida. Los referidos suelen venir del DOC de Kentucky o una orden judicial. Ubicado en el Campus Shelby de Louisville.",1436 South Shelby Street,Louisville,(502) 636-0742,,https://voamid.org,Varies by program—many accept individuals with felony records. Most transitional and reentry housing requires referral or application; call to confirm bed availability and criteria.,Varía según el programa—muchos aceptan personas con antecedentes penales. La mayoría de vivienda transitoria requiere referido o solicitud; llame para confirmar disponibilidad.,Six- to eight-month program DOC or court referral may apply.,"Tratamiento residencial de uso de sustancias para hombres que salen de centros correccionales (Liberty Place, antes Halfway Back). Programa de seis a ocho meses puede requerir referido del DOC o del tribunal.",Call for admissions,louisville|liberty-place|substance-use|men|halfway-back|recovery,Substance use treatment|Support groups|Counseling|GED and high school equivalency|Workforce development,Jefferson,Bullitt|Henry|Jefferson|Oldham|Shelby|Spencer|Trimble,multi,accepts_criminal_record|referral_required
