source_url,source_type,date_accessed,confidence,notes,id_reference
https://www.michigan.gov/corrections/our-operations/osa,government,2026-06-24,high,Resource id 1: MDOC — Offender Success Administration (OSA),1
https://www.michigan.gov/corrections/our-operations/osa/reentry-services,government,2026-06-24,high,Resource id 2: MDOC — Reentry Services (OSRS),2
https://newmibridges.michigan.gov,government,2026-06-24,high,Resource id 3: MI Bridges — Public Benefits Portal,3
https://www.mi211.org,nonprofit,2026-06-24,high,Resource id 4: Michigan 211,4
https://988lifeline.org,government,2026-06-24,high,Resource id 5: 988 Suicide & Crisis Lifeline — Michigan,5
https://www.legalaidmichigan.org,nonprofit,2026-06-24,high,Resource id 6: Legal Aid of Michigan — Statewide Intake,6
https://michiganlegalhelp.org,nonprofit,2026-06-24,high,Resource id 7: Michigan Legal Help,7
https://www.michigan.gov/mdhhs/assistance-programs/behavioral-health,government,2026-06-24,high,Resource id 8: MDHHS — Behavioral Health & Substance Use Portal,8
https://www.michigan.gov/leo/bureau-services/michigan-rehabilitation-services,government,2026-06-24,high,Resource id 9: Michigan Rehabilitation Services (MRS),9
https://www.samhsa.gov/find-help/national-helpline,government,2026-06-24,high,Resource id 10: SAMHSA National Helpline,10
https://findtreatment.gov,government,2026-06-24,high,Resource id 11: FindTreatment.gov — Michigan Provider Search,11
https://www.michigan.gov/corrections/parole-probation/parole-board,government,2026-06-24,high,Resource id 12: MDOC — Parole Board,12
https://www.michigan.gov/corrections/parole-probation,government,2026-06-24,high,Resource id 13: MDOC — Field Operations Administration,13
https://www.michigan.gov/sos,government,2026-06-24,high,Resource id 14: Michigan Secretary of State — Driver & State ID Services,14
https://www.mitalent.org,government,2026-06-24,high,Resource id 15: MiTalent.org — Michigan Works! Statewide,15
https://calvin.edu/prison-initiative/resources/,nonprofit,2026-06-24,high,Resource id 16: Calvin University — MDOC Returning Citizen Resource Map,16
https://www.michigan.gov/veterans,government,2026-06-24,high,Resource id 17: Michigan Veterans Affairs Agency — Statewide Hotline,17
https://www.michigan.gov/corrections/our-operations/osa/reentry-services,government,2026-06-24,high,Resource id 18: Michigan Reentry Community Resource Map,18
https://www.michigan.gov/corrections/our-operations/osa/in-reach,government,2026-06-24,high,Resource id 19: MDOC — In-Reach Transition Planning,19
https://www.michigan.gov/corrections/our-operations/osa/employment-and-opportunities-unit,government,2026-06-24,high,Resource id 20: MDOC — Employment & Opportunities Unit,20
https://www.hmsanet.com,government,2026-06-24,high,Resource id 21: Health Management Systems of America — MDOC Offender Success Region 10,21
https://www.mwwc.org/offender-success,government,2026-06-24,high,Resource id 22: Michigan Works! West Central — Offender Success Region 4,22
https://www.miworks.org/offender-success,government,2026-06-24,high,Resource id 23: Kinexus — Michigan Works! Southwest Offender Success Region 8,23
https://www.upmichiganworks.org,government,2026-06-24,high,Resource id 24: Michigan Works! — Upper Peninsula Prosperity Alliance (OSAA Region 1),24
https://www.networksnorthwest.org/michigan-works,government,2026-06-24,high,Resource id 25: Networks Northwest — Michigan Works! (OSAA Region 2),25
https://www.michiganworks.org,government,2026-06-24,high,Resource id 26: Michigan Works! Northeast Consortium (OSAA Region 3),26
https://www.michiganworks.org,government,2026-06-24,high,Resource id 27: Michigan Works! Great Lakes Bay (OSAA Region 5),27
https://www.michiganworks.org,government,2026-06-24,high,Resource id 28: Michigan Works! East Michigan (OSAA Region 6),28
https://www.camw.org,government,2026-06-24,high,Resource id 29: Capital Area Michigan Works! (OSAA Region 7),29
https://www.michiganworks.org,government,2026-06-24,high,Resource id 30: Michigan Works! Southeast (OSAA Region 9),30
https://descmiworks.org,government,2026-06-24,high,Resource id 31: Detroit Employment Solutions Corporation — Offender Success Partner,31
https://www.michigan.gov/corrections/prisons,government,2026-06-24,high,Resource id 32: Parnall Correctional Facility — Vocational Village & In-Reach,32
https://www.michigan.gov/corrections/prisons,government,2026-06-24,high,Resource id 33: Richard A. Handlon Correctional Facility — Vocational Village,33
https://www.michigan.gov/corrections/prisons,government,2026-06-24,high,Resource id 34: Cooper Street Correctional Facility,34
https://www.michigan.gov/corrections/prisons,government,2026-06-24,high,Resource id 35: Lakeland Correctional Facility,35
https://www.michigan.gov/corrections/prisons,government,2026-06-24,high,Resource id 36: Macomb Correctional Facility,36
https://www.michigan.gov/corrections/prisons,government,2026-06-24,high,Resource id 37: G. Robert Cotton Correctional Facility,37
https://www.michigan.gov/corrections/parole-probation/office-directory,government,2026-06-24,high,Resource id 38: MDOC Field Operations — Region 10 Detroit Metro Parole,38
https://www.michigan.gov/corrections/parole-probation/office-directory,government,2026-06-24,high,Resource id 39: MDOC Field Operations — Region 10 Pontiac Parole,39
https://www.michigan.gov/corrections/parole-probation/office-directory,government,2026-06-24,high,Resource id 40: MDOC Field Operations — Region 9 Jackson Parole,40
https://www.michigan.gov/corrections/parole-probation/office-directory,government,2026-06-24,high,Resource id 41: MDOC Field Operations — Region 4 Grand Rapids,41
https://www.michigan.gov/corrections/parole-probation/office-directory,government,2026-06-24,high,Resource id 42: MDOC Field Operations — Region 7 Lansing,42
https://www.michigan.gov/corrections/parole-probation/office-directory,government,2026-06-24,high,Resource id 43: MDOC Field Operations — Region 6 Flint,43
