source_url,source_type,date_accessed,confidence,notes,id_reference
https://www.mdoc.ms.gov,government,2026-07-06,high,Resource id 1: MDOC — Reentry & Community Corrections,1
https://www.mdoc.ms.gov/ProbationParole,government,2026-07-06,high,Resource id 2: MDOC — Probation & Parole Field Operations,2
https://access.ms.gov,government,2026-07-06,high,Resource id 3: access.ms.gov — MDHS Benefits Portal,3
https://medicaid.ms.gov,government,2026-07-06,high,Resource id 4: Mississippi Division of Medicaid,4
https://www.ms211.org,nonprofit,2026-07-06,high,Resource id 5: 211 Mississippi,5
https://www.mslegalservices.org,nonprofit,2026-07-06,high,Resource id 6: Mississippi Center for Legal Services — Statewide Intake,6
https://msworks.ms.gov,government,2026-07-06,high,Resource id 7: Mississippi Works — WIN Job Center Network,7
https://www.mdrs.ms.gov,government,2026-07-06,high,Resource id 8: MDRS — Vocational Rehabilitation Services,8
https://www.msva.ms.gov,government,2026-07-06,high,Resource id 9: Mississippi Veterans Affairs,9
https://www.dps.ms.gov/driver-services,government,2026-07-06,high,Resource id 10: Mississippi DPS — Driver License Division,10
https://msdh.ms.gov/vitalrecords,government,2026-07-06,high,Resource id 11: MSDH — Vital Records,11
https://988lifeline.org,government,2026-07-06,high,Resource id 12: 988 Suicide & Crisis Lifeline — Mississippi,12
https://www.samhsa.gov/find-help/national-helpline,government,2026-07-06,high,Resource id 13: SAMHSA National Helpline,13
https://findtreatment.gov,government,2026-07-06,high,Resource id 14: FindTreatment.gov — Mississippi Provider Search,14
https://dmh.ms.gov,government,2026-07-06,high,Resource id 15: Mississippi Department of Mental Health (DMH),15
https://www.mdoc.ms.gov,government,2026-07-06,high,Resource id 16: Mississippi Reentry Council,16
https://www.stewpot.org,nonprofit,2026-07-06,high,Resource id 17: Stewpot Community Services — Jackson,17
https://www.gatewaymission.org,nonprofit,2026-07-06,high,Resource id 18: Gateway Rescue Mission — Jackson,18
https://www.hindsbh.org,nonprofit,2026-07-06,high,Resource id 19: Hinds Behavioral Health Services,19
https://www.catholiccharitiesjackson.org,nonprofit,2026-07-06,high,Resource id 20: Catholic Charities — Jackson Housing & Reentry,20
https://www.opendoorshomeless.org,nonprofit,2026-07-06,high,Resource id 21: Open Doors Homeless Coalition — Gulf Coast,21
https://www.coastalfamilyhealth.org,nonprofit,2026-07-06,high,Resource id 22: Coastal Family Health Center — Gulfport,22
https://www.backbaymission.org,nonprofit,2026-07-06,high,Resource id 23: Back Bay Mission — Biloxi,23
https://www.regionii.org,nonprofit,2026-07-06,high,Resource id 24: Region II Mental Health Services — Tupelo,24
