source_url,source_type,date_accessed,confidence,notes,id_reference
https://www.dac.nc.gov/reentry-services,government,2026-06-25,high,Resource id 1: NCDAC — Reentry Services,1
https://epass.nc.gov,government,2026-06-25,high,Resource id 2: ePASS — North Carolina Benefits Portal,2
https://www.ncdhhs.gov/divisions/social-services/nc-fast,government,2026-06-25,high,Resource id 3: NC FAST — Benefits Application Support,3
https://nc211.org,nonprofit,2026-06-25,high,Resource id 4: NC 211,4
https://legalaidnc.org/cta/legal-aid-helpline/,nonprofit,2026-06-25,high,Resource id 5: Legal Aid of North Carolina — Statewide Helpline,5
https://www.ncworks.gov,government,2026-06-25,high,Resource id 6: NCWorks — Statewide Workforce System,6
https://www.ncdhhs.gov/divisions/dvrs,government,2026-06-25,high,Resource id 7: NC Division of Vocational Rehabilitation Services (DVRS),7
https://www.ncdhhs.gov/about/department-initiatives/nc-crisis-solutions,government,2026-06-25,high,Resource id 8: NC Crisis Solutions — Behavioral Health Crisis,8
https://988lifeline.org,government,2026-06-25,high,Resource id 9: 988 Suicide & Crisis Lifeline — North Carolina,9
https://www.samhsa.gov/find-help/national-helpline,government,2026-06-25,high,Resource id 10: SAMHSA National Helpline,10
https://findtreatment.gov,government,2026-06-25,high,Resource id 11: FindTreatment.gov — North Carolina Provider Search,11
https://www.ncdot.gov/dmv,government,2026-06-25,high,Resource id 12: NC Division of Motor Vehicles — ID Services,12
https://www.ncdhhs.gov/divisions/public-health/vital-records,government,2026-06-25,high,Resource id 13: NC Vital Records — Birth & Death Certificates,13
https://www.ncdva.nc.gov,government,2026-06-25,high,Resource id 14: NC Department of Military and Veterans Affairs — Statewide,14
https://ncsecondchance.org,nonprofit,2026-06-25,high,Resource id 15: NC Second Chance Alliance,15
https://www.ncjustice.org,nonprofit,2026-06-25,high,Resource id 16: NC Justice Center — Fair Chance Employment Project,16
https://centerforcommunitytransitions.org,nonprofit,2026-06-25,high,Resource id 17: Center for Community Transitions — Charlotte,17
https://stepupministry.org,nonprofit,2026-06-25,high,Resource id 18: StepUp Ministry — Raleigh Reentry,18
https://www.trosainc.org,nonprofit,2026-06-25,high,Resource id 19: TROSA — Durham,19
https://healing-transitions.org,nonprofit,2026-06-25,high,Resource id 20: Healing Transitions — Raleigh,20
https://urbanmin.org,nonprofit,2026-06-25,high,Resource id 21: Urban Ministries of Wake County — Open Door Clinic,21
https://goodshepherdcenter.org,nonprofit,2026-06-25,high,Resource id 22: Good Shepherd Center — Wilmington,22
https://www.dac.nc.gov/divisions-and-sections/community-supervision,government,2026-06-25,high,Resource id 23: NCDAC Division of Community Supervision — Statewide,23
https://www.dac.nc.gov/community-supervision-field-operations-division-and-district-contacts-0/open,government,2026-06-25,high,Resource id 24: NCDAC Community Supervision — Mecklenburg Judicial District 26,24
https://www.dac.nc.gov/community-supervision-field-operations-division-and-district-contacts-0/open,government,2026-06-25,high,Resource id 25: NCDAC Community Supervision — Wake Judicial District 10,25
https://www.dac.nc.gov/community-supervision-field-operations-division-and-district-contacts-0/open,government,2026-06-25,high,Resource id 26: NCDAC Community Supervision — Durham Judicial District 14,26
https://www.dac.nc.gov/community-supervision-field-operations-division-and-district-contacts-0/open,government,2026-06-25,high,Resource id 27: NCDAC Community Supervision — Guilford Judicial District 18,27
https://www.dac.nc.gov/community-supervision-field-operations-division-and-district-contacts-0/open,government,2026-06-25,high,Resource id 28: NCDAC Community Supervision — Forsyth Judicial District 21,28
https://www.dac.nc.gov/community-supervision-field-operations-division-and-district-contacts-0/open,government,2026-06-25,high,Resource id 29: NCDAC Community Supervision — Cumberland Judicial District 12,29
https://www.dac.nc.gov/community-supervision-field-operations-division-and-district-contacts-0/open,government,2026-06-25,high,Resource id 30: NCDAC Community Supervision — New Hanover Judicial District 5,30
https://www.dac.nc.gov/divisions-and-sections/rehabilitation-and-reentry-services,government,2026-06-25,high,Resource id 31: NCDAC Division of Rehabilitation and Reentry Services,31
https://www.ncjustice.org/projects/fair-chance-criminal-justice-project/,nonprofit,2026-06-25,high,Resource id 32: North Carolina Justice Center — Fair Chance Criminal Justice Project,32
https://centerforcommunitytransitions.org/,nonprofit,2026-06-25,high,Resource id 33: Center for Community Transitions (CCT),33
https://www.crossroadsreentry.org/,nonprofit,2026-06-25,high,Resource id 34: Crossroads Reentry Ministries,34
https://oakcitycares.org/services/,nonprofit,2026-06-25,high,Resource id 35: Oak City Cares — Wake County Coordinated Entry Hub,35
https://www.dac.nc.gov/local-reentry-councils,government,2026-06-25,high,Resource id 36: Mecklenburg Reentry Partners Network,36
https://www.dac.nc.gov/local-reentry-councils,government,2026-06-25,high,Resource id 37: Wake Local Reentry Council,37
https://www.dac.nc.gov/local-reentry-councils,government,2026-06-25,high,Resource id 38: Durham Local Reentry Council,38
https://healing-transitions.org/recovery-services/,nonprofit,2026-06-25,high,Resource id 39: Healing Transitions — Men's Campus Recovery Housing,39
https://healing-transitions.org/contact/,nonprofit,2026-06-25,high,Resource id 40: Healing Transitions — Women's Campus Recovery Housing,40
https://www.urbanmin.org/services/shelter,nonprofit,2026-06-25,high,Resource id 41: Urban Ministries of Wake County — Helen Wright Center for Women,41
https://charlotterescuemission.org/our-work/men/,nonprofit,2026-06-25,high,Resource id 42: Charlotte Rescue Mission — Rebound Men's Recovery Program,42
https://charlotterescuemission.org/,nonprofit,2026-06-25,high,Resource id 43: Charlotte Rescue Mission — Recovery Living Transitional Housing,43
https://trosainc.org/admissions/,nonprofit,2026-06-25,high,Resource id 44: TROSA — Durham Residential Recovery Campus,44
https://trosainc.org/,nonprofit,2026-06-25,high,Resource id 45: TROSA — Winston-Salem Residential Recovery Campus,45
https://www.oxfordhouse.org/,nonprofit,2026-06-25,high,Resource id 46: Oxford House of North Carolina — Recovery Residences,46
https://www.crisisassistance.org/,nonprofit,2026-06-25,high,Resource id 47: Crisis Assistance Ministry — Housing Stability & Emergency Aid,47
https://www.dac.nc.gov/local-reentry-councils,government,2026-06-25,high,Resource id 48: Guilford County Local Reentry Council,48
https://www.dac.nc.gov/local-reentry-councils,government,2026-06-25,high,Resource id 49: Forsyth County Reentry Council,49
https://www.dac.nc.gov/local-reentry-councils,government,2026-06-25,high,Resource id 50: Fayetteville-Cumberland Reentry Council,50
https://www.dac.nc.gov/local-reentry-councils,government,2026-06-25,high,Resource id 51: New Hanover Local Reentry Council,51
https://www.stepupministry.org/,nonprofit,2026-06-25,high,Resource id 52: StepUp Ministry — Raleigh Employment Academy,52
https://www.stepupministry.org/contact-us,nonprofit,2026-06-25,high,Resource id 53: StepUp Ministry — Durham Office,53
https://www.stepupministry.org/contact-us,nonprofit,2026-06-25,high,Resource id 54: StepUp Ministry — Greensboro Office,54
https://www.stepupministry.org/contact-us,nonprofit,2026-06-25,high,Resource id 55: StepUp Ministry — Wilmington Office,55
https://centerforcommunitytransitions.org/contact/,nonprofit,2026-06-25,high,Resource id 56: CCT LifeWorks! Employment Program,56
https://www.ncworks.gov/vosnet/ContactUs.aspx?tab=4,government,2026-06-25,high,Resource id 57: NCWorks Career Center — Charlotte,57
https://www.ncworks.gov/vosnet/ContactUs.aspx?tab=4,government,2026-06-25,high,Resource id 58: NCWorks Career Center — Capital Area Raleigh,58
https://www.ncworks.gov/vosnet/ContactUs.aspx?tab=4,government,2026-06-25,high,Resource id 59: NCWorks Career Center — Durham County,59
https://www.ncdhhs.gov/eipd,government,2026-06-25,high,Resource id 60: NC Division of Employment and Independence for People with Disabilities (DVRS),60
https://www.dac.nc.gov/local-reentry-councils,nonprofit,2026-06-25,high,Resource id 61: Goodwill Industries of Northwest North Carolina — Workforce Services,61
https://legalaidnc.org/offices/,nonprofit,2026-06-25,high,Resource id 62: Legal Aid of North Carolina — Charlotte Office,62
https://legalaidnc.org/offices/,nonprofit,2026-06-25,high,Resource id 63: Legal Aid of North Carolina — Durham Office,63
https://legalaidnc.org/offices/,nonprofit,2026-06-25,high,Resource id 64: Legal Aid of North Carolina — Central Carolina Office,64
https://legalaidnc.org/offices/,nonprofit,2026-06-25,high,Resource id 65: Legal Aid of North Carolina — Greensboro Office,65
https://legalaidnc.org/offices/,nonprofit,2026-06-25,high,Resource id 66: Legal Aid of North Carolina — Winston-Salem Office,66
https://legalaidnc.org/offices/,nonprofit,2026-06-25,high,Resource id 67: Legal Aid of North Carolina — Fayetteville Office,67
