source_url,source_type,date_accessed,confidence,notes,id_reference
https://drc.ohio.gov/reentry,government,2026-06-20,high,Resource id 1: Ohio DRC — Office of Reentry,1
https://drc.ohio.gov/systems-and-services/2-reentry-services/reentry-services,government,2026-06-20,high,Resource id 2: Relink.org,2
https://dam.assets.ohio.gov/image/upload/drc.ohio.gov/Forms/Reentry_Coalitions_4-20-26.pdf,government,2026-06-20,high,Resource id 3: Ohio Association of Local Reentry Coalitions (OALRC),3
https://www.211.org/get-help/ohio,directory,2026-06-20,high,Resource id 4: Ohio 211,4
https://988lifeline.org,government,2026-06-20,high,Resource id 5: 988 Suicide & Crisis Lifeline — Ohio,5
https://www.ohiolegalhelp.org,nonprofit,2026-06-20,high,Resource id 6: Ohio Legal Help,6
https://ohioreentryconnections.org,nonprofit,2026-06-20,medium,Resource id 7: Ohio Reentry Connections,7
https://drccqe.com,government,2026-06-20,high,Resource id 8: Certificate of Qualification for Employment (CQE) — Ohio DRC,8
https://drc.ohio.gov/about-us/divisions-and-offices/adult-parole-authority,government,2026-06-20,high,Resource id 9: Ohio Adult Parole Authority,9
https://benefits.ohio.gov,government,2026-06-20,high,Resource id 10: Ohio Benefits — benefits.ohio.gov,10
https://mha.ohio.gov/get-help/get-help-now/toll-free-bridge-line,government,2026-06-20,high,Resource id 11: OhioMHAS Consumer & Family Toll-Free Bridge Line,11
https://jfs.ohio.gov/wps/portal/gov/jfs/help/help-for-families/restored-citizens,government,2026-06-20,high,Resource id 12: ODJFS — Restored Citizens Initiative,12
https://mha.ohio.gov/community-partners/recovery/recovery-housing,government,2026-06-20,high,Resource id 13: Ohio Recovery Housing Locator,13
https://mha.ohio.gov/about-us/documents/access-to-recovery,government,2026-06-20,high,Resource id 14: OhioMHAS Access to Recovery (ATR),14
https://www.samhsa.gov/find-help/national-helpline,government,2026-06-20,high,Resource id 15: SAMHSA National Helpline,15
https://findtreatment.gov,government,2026-06-20,high,Resource id 16: FindTreatment.gov — Ohio Provider Search,16
https://dam.assets.ohio.gov/image/upload/drc.ohio.gov/Forms/Reentry_Coalitions_4-20-26.pdf,government,2026-06-20,high,Resource id 17: Southeast Ohio Reentry Coalition,17
