state,county,category,category_label,tier,phase,strategy,sources
Alabama,Baldwin,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Barbour,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Bullock,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Butler,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Calhoun,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Cherokee,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Chilton,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Choctaw,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Clarke,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Clay,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Cleburne,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Conecuh,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Coosa,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Covington,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Crenshaw,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Cullman,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Dallas,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,DeKalb,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Escambia,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Etowah,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Fayette,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Franklin,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Jackson,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Lamar,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Lawrence,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Marengo,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Marshall,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Monroe,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Perry,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Pickens,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Pike,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Randolph,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Talladega,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Tallapoosa,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Washington,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Wilcox,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Winston,housing,Housing,A,1,regional,CoC/HUD; DOC reentry housing; state housing finance
Alabama,Autauga,substance-use-treatment,Substance Use Treatment,A,1,regional,SAMHSA; FindHelpNow/state SUD directory
Alabama,Baldwin,substance-use-treatment,Substance Use Treatment,A,1,regional,SAMHSA; FindHelpNow/state SUD directory
Alabama,Blount,substance-use-treatment,Substance Use Treatment,A,1,regional,SAMHSA; FindHelpNow/state SUD directory
