source_url,source_type,date_accessed,confidence,notes,id_reference
https://doc.sc.gov/programs,government,2026-07-06,high,Resource id 1: SCDC — Reentry Programs,1
https://www.ppp.sc.gov,government,2026-07-06,high,"Resource id 2: SCDPPPS — Probation, Parole & Pardon Services",2
https://benefitsportal.dss.sc.gov,government,2026-07-06,high,Resource id 3: SC Benefits Portal — Online Applications,3
https://portal.dss.sc.gov,government,2026-07-06,high,Resource id 4: SC DSS — Benefits & Family Support Portal,4
https://sc211.org,nonprofit,2026-07-06,high,Resource id 5: SC 211,5
https://sclegal.org,nonprofit,2026-07-06,high,Resource id 6: South Carolina Legal Services — Statewide Helpline,6
https://scjustice.org,nonprofit,2026-07-06,high,Resource id 7: SC Appleseed Legal Justice Center,7
https://www.scbar.org/public/get-legal-help/lawyer-referral-service/,nonprofit,2026-07-06,high,Resource id 8: SC Bar — Lawyer Referral & Pro Bono Program,8
https://www.scworks.org,government,2026-07-06,high,Resource id 9: SC Works — Statewide Workforce System,9
https://dew.sc.gov,government,2026-07-06,high,Resource id 10: SC Department of Employment and Workforce (DEW),10
https://scvrd.net,government,2026-07-06,high,Resource id 11: SC Vocational Rehabilitation Department (SCVRD),11
https://scdmh.net,government,2026-07-06,high,Resource id 12: SCDMH — Behavioral Health Services,12
https://sccares.org,nonprofit,2026-07-06,high,Resource id 13: SC CARES — Statewide Reentry Network,13
https://www.scdmvonline.com,government,2026-07-06,high,Resource id 14: SCDMV Online — ID & Driver Services,14
https://scdva.sc.gov,government,2026-07-06,high,Resource id 15: SC Department of Veterans' Affairs (SCDVA),15
https://988lifeline.org,government,2026-07-06,high,Resource id 16: 988 Suicide & Crisis Lifeline,16
https://www.samhsa.gov/find-help/national-helpline,government,2026-07-06,high,Resource id 17: SAMHSA National Helpline,17
https://findtreatment.gov,government,2026-07-06,high,Resource id 18: FindTreatment.gov — Treatment Locator,18
https://scdhec.gov/vital-records,government,2026-07-06,high,Resource id 19: SC DHEC — Vital Records,19
https://one80place.org,nonprofit,2026-07-06,high,Resource id 20: One80 Place — Charleston Reentry Housing,20
https://turningleafproject.com,nonprofit,2026-07-06,high,Resource id 21: Turning Leaf Project — Charleston,21
https://lowcountryfoodbank.org,nonprofit,2026-07-06,high,Resource id 22: Lowcountry Food Bank,22
https://pushingforward.org,nonprofit,2026-07-06,high,Resource id 23: Metanoia — North Charleston Community Development,23
https://olivergospelmission.org,nonprofit,2026-07-06,high,Resource id 24: Oliver Gospel Mission — Columbia,24
https://newdirectionsmidlands.org,nonprofit,2026-07-06,high,Resource id 25: New Directions of the Midlands — Columbia,25
https://transitionssc.org,nonprofit,2026-07-06,high,Resource id 26: Transitions — Columbia Homeless Services,26
https://unitedhousingconnections.org,nonprofit,2026-07-06,high,Resource id 27: United Housing Connections — Greenville,27
https://miraclehill.org,nonprofit,2026-07-06,high,Resource id 28: Miracle Hill Ministries — Greenville Recovery & Shelter,28
https://roarreentry.org,nonprofit,2026-07-06,high,Resource id 29: ROAR — Reentry Organization of Anderson & Region,29
https://miraclehill.org,nonprofit,2026-07-06,high,Resource id 30: Miracle Hill Ministries — Spartanburg Campus,30
https://piedmontcaa.org,nonprofit,2026-07-06,high,Resource id 31: Piedmont Community Actions — Spartanburg,31
https://hopehavenlowcountry.org,nonprofit,2026-07-06,high,Resource id 32: Hope Haven of the Lowcountry — Florence,32
https://keystonesc.org,nonprofit,2026-07-06,high,Resource id 33: Keystone Substance Abuse Services — Florence,33
https://newdirectionsmb.org,nonprofit,2026-07-06,high,Resource id 34: New Directions — Myrtle Beach,34
https://helpinghandofmyrtlebeach.org,nonprofit,2026-07-06,high,Resource id 35: Helping Hand of Myrtle Beach,35
https://keystonesc.org,nonprofit,2026-07-06,high,Resource id 36: Keystone Substance Abuse Services — Rock Hill,36
https://catawbaccaa.org,nonprofit,2026-07-06,high,Resource id 37: Catawba Community Action Agency — Rock Hill,37
https://harvesthope.org,nonprofit,2026-07-06,high,Resource id 38: Harvest Hope Food Bank — Midlands,38
https://www.scworks.org,government,2026-07-06,high,Resource id 39: SC Works — Charleston Center,39
https://www.scworks.org,government,2026-07-06,high,Resource id 40: SC Works — Greenville Center,40
https://www.scworks.org,government,2026-07-06,high,Resource id 41: SC Works — Rock Hill Center,41
https://dss.sc.gov/contact-dss/upstate-region/abbeville/,government,2026-07-06,high,Resource id 42: Abbeville County DSS — Benefits & Family Support,42
https://dss.sc.gov/contact-dss/midlands-region/aiken/,government,2026-07-06,high,Resource id 43: Aiken County DSS — Benefits & Family Support,43
https://dss.sc.gov/contact-dss/lowcountry-region/allendale/,government,2026-07-06,high,Resource id 44: Allendale County DSS — Benefits & Family Support,44
https://dss.sc.gov/contact-dss/upstate-region/anderson/,government,2026-07-06,high,Resource id 45: Anderson County DSS — Benefits & Family Support,45
https://dss.sc.gov/contact-dss/midlands-region/bamberg/,government,2026-07-06,high,Resource id 46: Bamberg County DSS — Benefits & Family Support,46
https://dss.sc.gov/contact-dss/midlands-region/barnwell/,government,2026-07-06,high,Resource id 47: Barnwell County DSS — Benefits & Family Support,47
