source_url,source_type,date_accessed,confidence,notes,id_reference
https://www.tdcj.texas.gov/divisions/rrd/reentry_program.html,government,2026-07-08,high,Resource id 1: TDCJ — Reentry & Release Programs,1
https://www.tdcj.texas.gov/divisions/pd/index.html,government,2026-07-08,high,Resource id 2: TDCJ — Parole Division,2
https://yourtexasbenefits.com,government,2026-07-08,high,Resource id 3: Your Texas Benefits,3
https://www.hhs.texas.gov/services/health/medicaid-chip,government,2026-07-08,high,Resource id 4: Texas Medicaid & CHIP,4
https://www.211texas.org,government,2026-07-08,high,Resource id 5: 211 Texas,5
https://texaslawhelp.org,government,2026-07-08,high,Resource id 6: Texas Law Help,6
https://www.lonestarlegal.org,government,2026-07-08,high,Resource id 7: Lone Star Legal Aid — Statewide Intake,7
https://www.trla.org,government,2026-07-08,high,Resource id 8: Texas RioGrande Legal Aid,8
https://www.twc.texas.gov/jobseekers/find-work,government,2026-07-08,high,Resource id 9: Texas Workforce Commission — Find Work,9
https://www.tvc.texas.gov,government,2026-07-08,high,Resource id 10: Texas Veterans Commission,10
https://www.dps.texas.gov/section/driver-license,government,2026-07-08,high,Resource id 11: Texas DPS — Driver License & ID,11
https://www.dshs.texas.gov/vital-statistics,government,2026-07-08,high,Resource id 12: Texas Vital Records,12
https://988lifeline.org,government,2026-07-08,high,Resource id 13: 988 Suicide & Crisis Lifeline — Texas,13
https://www.samhsa.gov/find-help/national-helpline,government,2026-07-08,high,Resource id 14: SAMHSA National Helpline,14
https://findtreatment.gov,government,2026-07-08,high,Resource id 15: FindTreatment.gov — Texas Provider Search,15
https://www.tdcj.texas.gov/divisions/rrd/reentry_program.html,government,2026-07-08,high,Resource id 16: TDCJ Reentry Hotline,16
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 17: Anderson County HHSC — Your Texas Benefits,17
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 18: Andrews County HHSC — Your Texas Benefits,18
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 19: Angelina County HHSC — Your Texas Benefits,19
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 20: Aransas County HHSC — Your Texas Benefits,20
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 21: Archer County HHSC — Your Texas Benefits,21
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 22: Armstrong County HHSC — Your Texas Benefits,22
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 23: Atascosa County HHSC — Your Texas Benefits,23
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 24: Austin County HHSC — Your Texas Benefits,24
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 25: Bailey County HHSC — Your Texas Benefits,25
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 26: Bandera County HHSC — Your Texas Benefits,26
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 27: Bastrop County HHSC — Your Texas Benefits,27
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 28: Baylor County HHSC — Your Texas Benefits,28
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 29: Bee County HHSC — Your Texas Benefits,29
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 30: Bell County HHSC — Your Texas Benefits,30
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 31: Bexar County HHSC — Your Texas Benefits,31
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 32: Blanco County HHSC — Your Texas Benefits,32
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 33: Borden County HHSC — Your Texas Benefits,33
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 34: Bosque County HHSC — Your Texas Benefits,34
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 35: Bowie County HHSC — Your Texas Benefits,35
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 36: Brazoria County HHSC — Your Texas Benefits,36
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 37: Brazos County HHSC — Your Texas Benefits,37
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 38: Brewster County HHSC — Your Texas Benefits,38
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 39: Briscoe County HHSC — Your Texas Benefits,39
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 40: Brooks County HHSC — Your Texas Benefits,40
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 41: Brown County HHSC — Your Texas Benefits,41
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 42: Burleson County HHSC — Your Texas Benefits,42
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 43: Burnet County HHSC — Your Texas Benefits,43
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 44: Caldwell County HHSC — Your Texas Benefits,44
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 45: Calhoun County HHSC — Your Texas Benefits,45
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 46: Callahan County HHSC — Your Texas Benefits,46
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 47: Cameron County HHSC — Your Texas Benefits,47
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 48: Camp County HHSC — Your Texas Benefits,48
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 49: Carson County HHSC — Your Texas Benefits,49
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 50: Cass County HHSC — Your Texas Benefits,50
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 51: Castro County HHSC — Your Texas Benefits,51
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 52: Chambers County HHSC — Your Texas Benefits,52
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 53: Cherokee County HHSC — Your Texas Benefits,53
https://www.hhs.texas.gov/services/snap/apply-for-snap,government,2026-07-08,high,Resource id 54: Childress County HHSC — Your Texas Benefits,54
