source_url,source_type,date_accessed,confidence,notes,id_reference
https://vadoc.virginia.gov/inmates-and-supervisees/reentry-resources/,government,2026-07-04,high,Resource id 1: VADOC — Reentry & Reintegration Services,1
https://vadoc.virginia.gov/inmates-and-supervisees/community-supervision/,government,2026-07-04,high,Resource id 2: VADOC — Probation & Parole District Offices,2
https://commonhelp.virginia.gov,government,2026-07-04,high,Resource id 3: CommonHelp — Virginia Benefits Portal,3
https://www.dss.virginia.gov/general-info/contact-us/,government,2026-07-04,high,Resource id 4: Virginia Department of Social Services — Local DSS Offices,4
https://211virginia.org/about-us/,government,2026-07-04,high,Resource id 5: 211 Virginia,5
https://www.valegalaid.org,nonprofit,2026-07-04,high,Resource id 6: Virginia Legal Aid Network — Statewide Intake (VaLegalAid.org),6
https://www.vplc.org/get-legal-help/,nonprofit,2026-07-04,high,Resource id 7: Virginia Poverty Law Center,7
https://virginiacareerworks.com/locations/,government,2026-07-04,high,Resource id 8: Virginia Works — Virginia Career Works Centers,8
https://www.dars.virginia.gov/ContactUs.htm,government,2026-07-04,high,Resource id 9: Virginia DARS — Vocational Rehabilitation,9
https://dbhds.virginia.gov/find-help/,government,2026-07-04,high,Resource id 10: Virginia Community Services Boards (DBHDS Network),10
https://988lifeline.org,government,2026-07-04,high,Resource id 11: 988 Suicide & Crisis Lifeline — Virginia,11
https://www.samhsa.gov/find-help/national-helpline,government,2026-07-04,high,Resource id 12: SAMHSA National Helpline — Virginia Treatment Referrals,12
https://www.vacares.org/history.html,nonprofit,2026-07-04,high,"Resource id 13: Virginia CARES, Inc.",13
https://www.dmv.virginia.gov/locations/mobile-offices,government,2026-07-04,high,Resource id 14: Virginia DMV — ID Cards & DMV Connect,14
https://www.dvs.virginia.gov/benefits-services/veteran-and-family-support/justice-involved-veteran-support,government,2026-07-04,high,Resource id 15: Virginia Veteran & Family Support (VVFS) — Department of Veterans Services,15
https://vafoodbanks.org,nonprofit,2026-07-04,high,Resource id 16: Federation of Virginia Food Banks,16
https://www.saara.org/about,nonprofit,2026-07-04,high,Resource id 17: SAARA of Virginia — Peer Recovery Support,17
https://www.oarric.org,nonprofit,2026-07-04,high,Resource id 18: OAR of Richmond,18
https://reallifeprogram.org/about/,nonprofit,2026-07-04,high,Resource id 19: REAL LIFE — Recovery & Reentry Program,19
https://www.boazandruth.com,nonprofit,2026-07-04,high,Resource id 20: Boaz & Ruth — Transitional Jobs & Training,20
https://caritasva.org/the-healing-place/,nonprofit,2026-07-04,high,Resource id 21: CARITAS — The Healing Place,21
https://caritasva.org/i-need-help/,nonprofit,2026-07-04,high,Resource id 22: CARITAS Works — Workforce Development,22
https://goodwillvirginia.org/governor-mcauliffe-hosts-re-entry-resource-fair-at-goodwills-richmond-support-center/,nonprofit,2026-07-04,high,Resource id 23: Goodwill of Central and Coastal Virginia — Reentry & Career Services,23
https://nhchc.org/grantee-directory/the-daily-planet-2/,nonprofit,2026-07-04,high,Resource id 24: Daily Planet Health Services,24
https://feedmore.org/help-line/,nonprofit,2026-07-04,high,Resource id 25: Feed More — Central Virginia Food Bank,25
https://www.fountainfund.org/what-we-do,nonprofit,2026-07-04,high,Resource id 26: The Fountain Fund — Central Virginia,26
https://norfolk.gov/DocumentCenter/View/58588/Clothing-Education--Training-Employment-Food-and-Housing-Assistance-Guide-Book,government,2026-07-04,high,"Resource id 27: STEP UP, Inc. — Hampton Roads Reentry Employment",27
https://theupcenter.org/about-us/,nonprofit,2026-07-04,high,Resource id 28: The Up Center — Family Support & Counseling,28
https://www.unionmissionministries.org/get-help/,nonprofit,2026-07-04,high,Resource id 29: Union Mission Ministries — Norfolk,29
https://www.hrchc.org/service-locations.html,nonprofit,2026-07-04,high,Resource id 30: Hampton Roads Community Health Center,30
