source_url,source_type,date_accessed,confidence,notes,id_reference
https://doc.wi.gov,government,2026-07-07,high,Resource id 1: WDOC — Reentry & Community Corrections,1
https://doc.wi.gov/Pages/OffenderInformation/ProbationParole.aspx,government,2026-07-07,high,Resource id 2: WDOC — Probation & Parole Field Operations,2
https://access.wi.gov,government,2026-07-07,high,Resource id 3: ACCESS Wisconsin — Benefits Portal,3
https://www.dhs.wisconsin.gov/badgercareplus/index.htm,government,2026-07-07,high,Resource id 4: ForwardHealth — BadgerCare Plus,4
https://211wisconsin.org,nonprofit,2026-07-07,high,Resource id 5: 211 Wisconsin,5
https://www.legalaction.org,nonprofit,2026-07-07,high,Resource id 6: Legal Action of Wisconsin — Statewide Intake,6
https://www.judicare.org,nonprofit,2026-07-07,high,Resource id 7: Wisconsin Judicare — Northern Wisconsin Legal Aid,7
https://www.wisconsinjobcenter.org,government,2026-07-07,high,Resource id 8: Job Center of Wisconsin — Statewide Network,8
https://dwd.wisconsin.gov/dvr,government,2026-07-07,high,Resource id 9: DVR — Division of Vocational Rehabilitation,9
https://dva.wisconsin.gov,government,2026-07-07,high,Resource id 10: Wisconsin Department of Veterans Affairs (WDVA),10
https://wisdot.gov/Pages/dmv/index.aspx,government,2026-07-07,high,Resource id 11: WisDOT — Division of Motor Vehicles,11
https://www.dhs.wisconsin.gov/vitalrecords/index.htm,government,2026-07-07,high,Resource id 12: Wisconsin Vital Records,12
https://988lifeline.org,government,2026-07-07,high,Resource id 13: 988 Suicide & Crisis Lifeline — Wisconsin,13
https://www.samhsa.gov/find-help/national-helpline,government,2026-07-07,high,Resource id 14: SAMHSA National Helpline,14
https://findtreatment.gov,government,2026-07-07,high,Resource id 15: FindTreatment.gov — Wisconsin Provider Search,15
https://www.dhs.wisconsin.gov/ccs/index.htm,government,2026-07-07,high,Resource id 16: Wisconsin DHS — Comprehensive Community Services (CCS),16
https://www.wiscs.org,nonprofit,2026-07-07,high,Resource id 17: Wisconsin Community Services — Statewide Reentry,17
https://www.guesthouseofmilwaukee.org,nonprofit,2026-07-07,high,Resource id 18: Guest House of Milwaukee,18
https://www.hopehousemke.org,nonprofit,2026-07-07,high,Resource id 19: Hope House of Milwaukee,19
https://communityadvocates.net,nonprofit,2026-07-07,high,Resource id 20: Community Advocates — Milwaukee,20
https://sschc.org,nonprofit,2026-07-07,high,Resource id 21: Sixteenth Street Community Health Centers — Milwaukee,21
https://justdane.org,nonprofit,2026-07-07,high,Resource id 22: JustDane — Madison Reentry Services,22
https://porchlightinc.org,nonprofit,2026-07-07,high,Resource id 23: Porchlight Inc — Madison,23
https://www.newcommunityshelter.org,nonprofit,2026-07-07,high,Resource id 24: NEW Community Shelter — Green Bay,24
https://www.haloinc.org,nonprofit,2026-07-07,high,Resource id 25: HALO Inc — Kenosha Homeless Services,25
https://www.hopecenterracine.org,nonprofit,2026-07-07,high,Resource id 26: Hope Center Racine — Homeless Services,26
https://www.wisconsinjobcenter.org,government,2026-07-07,high,Resource id 27: Job Center of Wisconsin — Milwaukee,27
https://www.wisconsinjobcenter.org,government,2026-07-07,high,Resource id 28: Job Center of Wisconsin — Madison,28
https://www.wisconsinjobcenter.org,government,2026-07-07,high,Resource id 29: Job Center of Wisconsin — Green Bay,29
https://www.dhs.wisconsin.gov/em/adams.htm,government,2026-07-07,high,Resource id 30: Adams County DHS — ACCESS Wisconsin Benefits,30
https://www.dhs.wisconsin.gov/em/ashland.htm,government,2026-07-07,high,Resource id 31: Ashland County DHS — ACCESS Wisconsin Benefits,31
https://www.dhs.wisconsin.gov/em/barron.htm,government,2026-07-07,high,Resource id 32: Barron County DHS — ACCESS Wisconsin Benefits,32
https://www.dhs.wisconsin.gov/em/bayfield.htm,government,2026-07-07,high,Resource id 33: Bayfield County DHS — ACCESS Wisconsin Benefits,33
https://www.dhs.wisconsin.gov/em/brown.htm,government,2026-07-07,high,Resource id 34: Brown County DHS — ACCESS Wisconsin Benefits,34
https://www.dhs.wisconsin.gov/em/buffalo.htm,government,2026-07-07,high,Resource id 35: Buffalo County DHS — ACCESS Wisconsin Benefits,35
https://www.dhs.wisconsin.gov/em/burnett.htm,government,2026-07-07,high,Resource id 36: Burnett County DHS — ACCESS Wisconsin Benefits,36
https://www.dhs.wisconsin.gov/em/calumet.htm,government,2026-07-07,high,Resource id 37: Calumet County DHS — ACCESS Wisconsin Benefits,37
https://www.dhs.wisconsin.gov/em/chippewa.htm,government,2026-07-07,high,Resource id 38: Chippewa County DHS — ACCESS Wisconsin Benefits,38
https://www.dhs.wisconsin.gov/em/clark.htm,government,2026-07-07,high,Resource id 39: Clark County DHS — ACCESS Wisconsin Benefits,39
https://www.dhs.wisconsin.gov/em/columbia.htm,government,2026-07-07,high,Resource id 40: Columbia County DHS — ACCESS Wisconsin Benefits,40
https://www.dhs.wisconsin.gov/em/crawford.htm,government,2026-07-07,high,Resource id 41: Crawford County DHS — ACCESS Wisconsin Benefits,41
https://www.dhs.wisconsin.gov/em/dane.htm,government,2026-07-07,high,Resource id 42: Dane County DHS — ACCESS Wisconsin Benefits,42
https://www.dhs.wisconsin.gov/em/dodge.htm,government,2026-07-07,high,Resource id 43: Dodge County DHS — ACCESS Wisconsin Benefits,43
https://www.dhs.wisconsin.gov/em/door.htm,government,2026-07-07,high,Resource id 44: Door County DHS — ACCESS Wisconsin Benefits,44
https://www.dhs.wisconsin.gov/em/douglas.htm,government,2026-07-07,high,Resource id 45: Douglas County DHS — ACCESS Wisconsin Benefits,45
https://www.dhs.wisconsin.gov/em/dunn.htm,government,2026-07-07,high,Resource id 46: Dunn County DHS — ACCESS Wisconsin Benefits,46
https://www.dhs.wisconsin.gov/em/eau-claire.htm,government,2026-07-07,high,Resource id 47: Eau Claire County DHS — ACCESS Wisconsin Benefits,47
https://www.dhs.wisconsin.gov/em/florence.htm,government,2026-07-07,high,Resource id 48: Florence County DHS — ACCESS Wisconsin Benefits,48
https://www.dhs.wisconsin.gov/em/fond-du-lac.htm,government,2026-07-07,high,Resource id 49: Fond du Lac County DHS — ACCESS Wisconsin Benefits,49
https://www.dhs.wisconsin.gov/em/forest.htm,government,2026-07-07,high,Resource id 50: Forest County DHS — ACCESS Wisconsin Benefits,50
https://www.dhs.wisconsin.gov/em/grant.htm,government,2026-07-07,high,Resource id 51: Grant County DHS — ACCESS Wisconsin Benefits,51
https://www.dhs.wisconsin.gov/em/green.htm,government,2026-07-07,high,Resource id 52: Green County DHS — ACCESS Wisconsin Benefits,52
https://www.dhs.wisconsin.gov/em/green-lake.htm,government,2026-07-07,high,Resource id 53: Green Lake County DHS — ACCESS Wisconsin Benefits,53
https://www.dhs.wisconsin.gov/em/iowa.htm,government,2026-07-07,high,Resource id 54: Iowa County DHS — ACCESS Wisconsin Benefits,54
https://www.dhs.wisconsin.gov/em/iron.htm,government,2026-07-07,high,Resource id 55: Iron County DHS — ACCESS Wisconsin Benefits,55
https://www.dhs.wisconsin.gov/em/jackson.htm,government,2026-07-07,high,Resource id 56: Jackson County DHS — ACCESS Wisconsin Benefits,56
https://www.dhs.wisconsin.gov/em/jefferson.htm,government,2026-07-07,high,Resource id 57: Jefferson County DHS — ACCESS Wisconsin Benefits,57
https://www.dhs.wisconsin.gov/em/juneau.htm,government,2026-07-07,high,Resource id 58: Juneau County DHS — ACCESS Wisconsin Benefits,58
https://www.dhs.wisconsin.gov/em/kenosha.htm,government,2026-07-07,high,Resource id 59: Kenosha County DHS — ACCESS Wisconsin Benefits,59
https://www.dhs.wisconsin.gov/em/kewaunee.htm,government,2026-07-07,high,Resource id 60: Kewaunee County DHS — ACCESS Wisconsin Benefits,60
https://www.dhs.wisconsin.gov/em/la-crosse.htm,government,2026-07-07,high,Resource id 61: La Crosse County DHS — ACCESS Wisconsin Benefits,61
https://www.dhs.wisconsin.gov/em/lafayette.htm,government,2026-07-07,high,Resource id 62: Lafayette County DHS — ACCESS Wisconsin Benefits,62
https://www.dhs.wisconsin.gov/em/langlade.htm,government,2026-07-07,high,Resource id 63: Langlade County DHS — ACCESS Wisconsin Benefits,63
https://www.dhs.wisconsin.gov/em/lincoln.htm,government,2026-07-07,high,Resource id 64: Lincoln County DHS — ACCESS Wisconsin Benefits,64
https://www.dhs.wisconsin.gov/em/manitowoc.htm,government,2026-07-07,high,Resource id 65: Manitowoc County DHS — ACCESS Wisconsin Benefits,65
https://www.dhs.wisconsin.gov/em/marathon.htm,government,2026-07-07,high,Resource id 66: Marathon County DHS — ACCESS Wisconsin Benefits,66
https://www.dhs.wisconsin.gov/em/marinette.htm,government,2026-07-07,high,Resource id 67: Marinette County DHS — ACCESS Wisconsin Benefits,67
https://www.dhs.wisconsin.gov/em/marquette.htm,government,2026-07-07,high,Resource id 68: Marquette County DHS — ACCESS Wisconsin Benefits,68
https://www.dhs.wisconsin.gov/em/menominee.htm,government,2026-07-07,high,Resource id 69: Menominee County DHS — ACCESS Wisconsin Benefits,69
https://www.dhs.wisconsin.gov/em/milwaukee.htm,government,2026-07-07,high,Resource id 70: Milwaukee County DHS — ACCESS Wisconsin Benefits,70
https://www.dhs.wisconsin.gov/em/monroe.htm,government,2026-07-07,high,Resource id 71: Monroe County DHS — ACCESS Wisconsin Benefits,71
https://www.dhs.wisconsin.gov/em/oconto.htm,government,2026-07-07,high,Resource id 72: Oconto County DHS — ACCESS Wisconsin Benefits,72
https://www.dhs.wisconsin.gov/em/oneida.htm,government,2026-07-07,high,Resource id 73: Oneida County DHS — ACCESS Wisconsin Benefits,73
https://www.dhs.wisconsin.gov/em/outagamie.htm,government,2026-07-07,high,Resource id 74: Outagamie County DHS — ACCESS Wisconsin Benefits,74
https://www.dhs.wisconsin.gov/em/ozaukee.htm,government,2026-07-07,high,Resource id 75: Ozaukee County DHS — ACCESS Wisconsin Benefits,75
https://www.dhs.wisconsin.gov/em/pepin.htm,government,2026-07-07,high,Resource id 76: Pepin County DHS — ACCESS Wisconsin Benefits,76
https://www.dhs.wisconsin.gov/em/pierce.htm,government,2026-07-07,high,Resource id 77: Pierce County DHS — ACCESS Wisconsin Benefits,77
https://www.dhs.wisconsin.gov/em/polk.htm,government,2026-07-07,high,Resource id 78: Polk County DHS — ACCESS Wisconsin Benefits,78
https://www.dhs.wisconsin.gov/em/portage.htm,government,2026-07-07,high,Resource id 79: Portage County DHS — ACCESS Wisconsin Benefits,79
https://www.dhs.wisconsin.gov/em/price.htm,government,2026-07-07,high,Resource id 80: Price County DHS — ACCESS Wisconsin Benefits,80
https://www.dhs.wisconsin.gov/em/racine.htm,government,2026-07-07,high,Resource id 81: Racine County DHS — ACCESS Wisconsin Benefits,81
https://www.dhs.wisconsin.gov/em/richland.htm,government,2026-07-07,high,Resource id 82: Richland County DHS — ACCESS Wisconsin Benefits,82
